id,nickname,puntuacion,aciertos,fallos,tasa_exito,tiempo_reaccion_promedio,partida_id,aciertos_agujero_0,aciertos_agujero_1,aciertos_agujero_2,aciertos_agujero_3,aciertos_agujero_4,aciertos_agujero_5,aciertos_agujero_6,aciertos_agujero_7,fallos_agujero_0,fallos_agujero_1,fallos_agujero_2,fallos_agujero_3,fallos_agujero_4,fallos_agujero_5,fallos_agujero_6,fallos_agujero_7,tiempo_reaccion_agujero_0,tiempo_reaccion_agujero_1,tiempo_reaccion_agujero_2,tiempo_reaccion_agujero_3,tiempo_reaccion_agujero_4,tiempo_reaccion_agujero_5,tiempo_reaccion_agujero_6,tiempo_reaccion_agujero_7,createdAt,updatedAt
1,ALX1,74,40,21,65.5738,610,1750634873285,4,2,3,5,3,4,6,13,4,1,5,2,1,4,1,3,635,970,511.333,615.8,705,654.75,543.5,562.385,Sun Jun 22 2025 18:27:53 GMT-0500 (hora de Ecuador),Sun Jun 22 2025 18:27:53 GMT-0500 (hora de Ecuador)
2,ALX2,68,38,20,65.5172,615,1750635033772,4,7,3,1,7,5,6,5,1,5,2,1,6,2,1,2,627.5,554.857,552,611,642.714,607.2,709.5,584.2,Sun Jun 22 2025 18:30:33 GMT-0500 (hora de Ecuador),Sun Jun 22 2025 18:30:33 GMT-0500 (hora de Ecuador)
